transition_date,transition_hour,transport_type_id,road_type,line,transfer_type,number_of_passage,number_of_passenger,product_kind,transaction_type_desc,town,line_name,station_poi_desc_cd
2020-04-15,8,1,OTOYOL,SIRINTEPE-SISLI,Normal,18,18,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,27T,
2020-04-09,16,1,OTOYOL,UMR.DEVLET HST.-C.BASI-KAVACIK,Normal,4,4,TAM,Tam Kontur,ATASEHIR,11ÇB,
2020-04-16,7,1,OTOYOL,SULTANBEYLI(M.SINAN)-ADLIYE-KARTAL DEV.HST,Aktarma,16,16,TAM,Tam Aktarma,BAKIRKOY,132M,
2020-04-20,7,1,OTOYOL,CIKSALIN - EMINONU,Normal,2,2,TAM,Tam Abonman,BAKIRKOY,77Ç,
2020-04-05,10,1,OTOYOL,YESILKOY - TAKSIM,Normal,3,3,TAM,Tam Kontur,BAKIRKOY,72T,
2020-04-09,8,1,OTOYOL,ATAKENT MAHALLESI-AKSARAY,Aktarma,1,1,INDIRIMLI2,Indirimli Tip 2 Aktarma,FATIH,89,
2020-04-30,19,1,OTOYOL,OMERLI KIPTAS KONUTLARI-BEYLIKDUZU,Normal,1,1,UCRETSIZ,Ucretsiz,KUCUKCEKMECE,144A,
2020-04-27,13,1,OTOYOL,USKUDAR-TUFAN MAHALLESI,Normal,4,4,UCRETSIZ,Ucretsiz,SANCAKTEPE,15U,
2020-04-16,16,2,RAYLI,KABATAS-BAGCILAR,Normal,1,1,INDIRIMLI2,Indirimli Tip 2 Kontur,GUNGOREN,T1,AKINCILAR
2020-04-30,18,1,OTOYOL,ALTUNIZADE-KAZIM KARABEKIR MAH.,Aktarma,1,1,INDIRIMLI1,Tam Aktarma,ATASEHIR,11K,
2020-04-20,18,1,OTOYOL,YENIBOSNA (KUYUMCUKENT) - BAKIRKOY,Normal,3,3,UCRETSIZ,Ucretsiz,BAKIRKOY,98B,
2020-04-15,7,1,OTOYOL,K.S.S HASTANESI-B.CEKMECE DEVLET HASTANESI,Normal,2,2,UCRETSIZ,Ucretsiz,KUCUKCEKMECE,142B,
2020-04-04,8,1,OTOYOL,KADIKOY-BEYKOZ,Normal,1,1,INDIRIMLI2,Indirimli Tip 2 Kontur,BEYKOZ,15F,
2020-04-29,16,1,OTOYOL,USKUDAR-EMNIYET MAHALLESI,Normal,3,3,INDIRIMLI1,Indirimli Kontur,SANCAKTEPE,11C,
2020-04-16,17,1,OTOYOL,KADIKOY-YENISEHIR-DUDULLU,Normal,1,1,INDIRIMLI2,Indirimli Tip 2 Abonman,BAKIRKOY,20D,
2020-04-13,9,1,OTOYOL,BOGAZKOY MH.-BAHCESEHIR-BAKIRKOY,Normal,10,10,UCRETSIZ,Ucretsiz,KUCUKCEKMECE,146,
2020-04-28,8,1,OTOYOL,ATESTUGLA DEMIRKAPI MH.- BEYAZIT,Normal,4,4,INDIRIMLI1,Indirimli Kontur,BAKIRKOY,97G,
2020-04-04,18,3,DENİZ,BARBAROS-E.KADIKOY,Normal,1,1,INDIRIMLI1,Indirimli Abonman,BESIKTAS,BARBAROS-E.KDK,BARBAROS
2020-04-27,9,1,OTOYOL,IHLAS MARMARA EVLERI-ZEYTINBURNU METRO,Normal,2,2,INDIRIMLI1,Tam Kontur,KUCUKCEKMECE,145,
2020-04-12,21,1,OTOYOL,CEVIZLIBAG - SOGUTLUCESME ,Normal,1,1,UCRETSIZ,Ucretsiz,KADIKOY,34A,SOGUTLUCESME 1 19052021 LLEGAL KULLANIM
2020-04-08,18,1,OTOYOL,PINAR MAHALLESI - 4.LEVENT METRO,Normal,1,1,UCRETSIZ,Ucretsiz,SARIYER,29,
2020-04-01,16,1,OTOYOL,GAZIOSMANPASA -TAKSIM,Normal,11,11,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,55T,
2020-04-06,19,1,OTOYOL,ATESTUGLA - MECIDIYEKOY,Normal,3,3,INDIRIMLI1,Indirimli Kontur,BAKIRKOY,92Ş,
2020-04-27,8,1,OTOYOL,KAGITHANE-CELIKTEPE-KABATAS,Aktarma,1,1,TAM,Tam Aktarma,SARIYER,63,
2020-04-02,14,1,OTOYOL,CEBECI MAHALLESI-TASOLUK-HARACCI,Normal,2,2,TAM,Tam Abonman,SARIYER,36HT,
2020-04-06,21,3,DENİZ,USKUDAR-EMINONU,Normal,2,2,TAM,Tam Kontur,USKUDAR,USKUDAR-EMN,USKUDAR
2020-04-17,17,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,INDIRIMLI1,Indirimli Abonman,AVCILAR,34,AVCILAR MRK.UNV.KAMP.
2020-04-13,8,1,OTOYOL,YENIBOSNAMETRO-TAKSIM,Normal,1,1,UCRETSIZ,Ucretsiz,BAKIRKOY,73,
2020-04-22,7,1,OTOYOL,YENIDOGAN-SULTANBEYLI,Normal,1,1,UCRETSIZ,Ucretsiz,ATASEHIR,18YS,
2020-04-07,16,1,OTOYOL,KADIKOY-ALEMDAG,Normal,3,3,TAM,Tam Kontur,BAKIRKOY,14A,
2020-04-07,10,1,OTOYOL,MECIDIYEKOY - GOKTURK,Normal,1,1,UCRETSIZ,Ucretsiz,SARIYER,48,
2020-04-02,19,1,OTOYOL,PASAKOY-YENIDOGAN-YAMANEVLER METRO,Normal,2,2,INDIRIMLI1,Tam Kontur,ATASEHIR,UM61,
2020-04-28,7,1,OTOYOL,KAZIM KARABEKIR - EMINONU,Normal,2,2,INDIRIMLI1,Indirimli Abonman,KAGITHANE,47K,
2020-04-22,20,1,OTOYOL,YUNUSEMRE MAH.-BARAJ YOLU-SISLI,Normal,1,1,INDIRIMLI2,Indirimli Tip 2 Abonman,FATIH,49GB,
2020-04-10,14,1,OTOYOL,CAMLIK HAM.- PENDIK METRO / PENDIK YHT,Normal,1,1,PERSONEL,Tam Kontur,KARTAL,KM26,
2020-04-03,9,2,RAYLI,YENIKAPI - HACIOSMAN,Normal,1,1,TAM,Tam Abonman,SISLI,M2,ATATURK OTO SANAYI KUZEY
2020-04-02,6,1,OTOYOL,ORTAKOY-DEREBOYU- TAKSIM,Normal,1,1,INDIRIMLI2,Indirimli Tip 2 Kontur,BAKIRKOY,DT1,
2020-04-02,16,1,OTOYOL,MASLAK GAZETECILER SITESI-ISTINYE DEREICI-BESIKTAS,Normal,1,1,TAM,Tam Abonman,SARIYER,29E,
2020-04-27,7,2,RAYLI,KADIKOY-KARTAL,Normal,5,5,INDIRIMLI1,Tam Kontur,PENDIK,M4,PENDIK (DOGU)
2020-04-17,10,1,OTOYOL,PARSELLER MAH-UZUNCAYIR M.BUS-KADIKOY,Aktarma,1,1,TAM,Tam Aktarma,BAKIRKOY,14BK,
2020-04-27,16,1,OTOYOL,AKSEMSETTIN MAH. - EMINONU,Normal,6,5,TAM,Tam Kontur,SARIYER,99,
2020-04-03,19,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,40,40,TAM,Tam Abonman,BAHCELIEVLER,34,YENIBOSNA
2020-04-27,22,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,TAM,TekliBilet Tarifeli,AVCILAR,34,IBB SOSYAL TESISLER
2020-04-22,23,1,OTOYOL,KADIKOY-TUZLA,Normal,7,7,TAM,Tam Kontur,BAKIRKOY,130A,
2020-04-06,20,1,OTOYOL,YENIBOSNA (KUYUMCUKENT) - EMINONU,Normal,3,3,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,31E,
2020-04-06,19,1,OTOYOL,HADIMKOY TOKI-BAYRAMPASA METRO,Normal,13,13,TAM,Tam Abonman,SARIYER,336H,
2020-04-13,9,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,8,8,TAM,Tam Abonman,BEYLIKDUZU,34,GUZELYURT
2020-04-11,8,1,OTOYOL,SARIYER-BESIKTAS,Normal,1,1,UCRETSIZ,Ucretsiz,SARIYER,40B,
2020-04-23,7,2,RAYLI,YENIKAPI - HACIOSMAN,Aktarma,1,1,INDIRIMLI1,Indirimli Aktarma,BEYOGLU,M2,TAKSIM GUNEY
2020-04-01,8,1,OTOYOL,USKUDAR-RASATHANE,Normal,1,1,INDIRIMLI1,Indirimli Kontur,SANCAKTEPE,15R,
2020-04-02,5,1,OTOYOL,ALTUNIZADE-SULTANBEYLI,Normal,6,6,TAM,Tam Kontur,BAKIRKOY,11ÜS,
2020-04-05,12,1,OTOYOL,HACI OSMAN METRO -  RUMELI FENERI,Aktarma,7,7,TAM,Tam Aktarma,SARIYER,150,
2020-04-08,8,1,OTOYOL,KAYASEHIR-YENIBOSNA METRO,Normal,1,1,INDIRIMLI1,Indirimli Abonman,KUCUKCEKMECE,79K,
2020-04-01,17,1,OTOYOL,ALEMDAR-HALICIOGLU,Aktarma,1,1,INDIRIMLI1,Indirimli Aktarma,BAKIRKOY,522,
2020-04-09,19,1,OTOYOL,ATESTUGLA - MECIDIYEKOY,Aktarma,25,24,TAM,Tam Aktarma,BAKIRKOY,92Ş,
2020-04-14,8,1,OTOYOL,CIKSALIN - EMINONU,Normal,2,2,INDIRIMLI1,Indirimli Kontur,SARIYER,77Ç,
2020-04-04,18,1,OTOYOL,NISANTEPE-YAMANEVLER METRO,Normal,1,1,INDIRIMLI1,Indirimli Kontur,KARTAL,ÇM44,
2020-04-13,10,1,OTOYOL,KARTALMETRO/TOPSELVI-KADIKOY,Normal,2,1,TAM,Tam Kontur,KARTAL,16B,
2020-04-03,20,2,RAYLI,KABATAS-BAGCILAR,Normal,3,2,UCRETSIZ,Ucretsiz,GUNGOREN,T1,GUNGOREN
2020-04-16,8,2,RAYLI,YENIKAPI - HACIOSMAN,Normal,3,3,TAM,Tam Abonman,SISLI,M2,SISLI GUNEY
2020-04-09,17,2,RAYLI,USKUDAR-CEKMEKOY,Normal,1,1,UCRETSIZ,Ucretsiz,UMRANIYE,M5,IMAM HATIP LISESI
2020-04-20,18,1,OTOYOL,EMNIYETTEPE - EMINONU,Normal,12,12,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,399B,
